-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
1 1:34834 2:-1
1 1:21425 2:-1
-1 1:-1 2:-1
1 1:27993 2:-1
-1 1:-1 2:-1
1 1:20767 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
1 1:21098 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
1 1:69377 2:-1
1 1:58583 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
1 1:37184 2:-1
-1 1:-1 2:-1
1 1:-1 2:99826
1 1:-1 2:70447
1 1:-1 2:39779
1 1:-1 2:24249
1 1:-1 2:37938
1 1:-1 2:40779
1 1:-1 2:40695
1 1:-1 2:73200
1 1:-1 2:66437
1 1:-1 2:76266
1 1:-1 2:65697
1 1:-1 2:32452
1 1:32632 2:-1
1 1:44635 2:58344
1 1:-1 2:34072
1 1:-1 2:36225
-1 1:-1 2:-1
-1 1:-1 2:-1
1 1:-1 2:25021
1 1:-1 2:225488
1 1:-1 2:153845
1 1:-1 2:192111
1 1:-1 2:176378
1 1:-1 2:104355
1 1:-1 2:180741
1 1:-1 2:207485
1 1:-1 2:207688
1 1:-1 2:217331
1 1:-1 2:255565
1 1:-1 2:230578
1 1:-1 2:127948
1 1:-1 2:58937
1 1:29816 2:67680
1 1:85444 2:91605
1 1:88629 2:109915
1 1:77591 2:43317
1 1:137820 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
-1 1:-1 2:-1
1 1:37524 2:-1
